#group,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#default,mean,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,host,location,topic
,,0,2025-05-08T10:52:36.7698019Z,2025-05-08T16:52:36.7698019Z,2025-05-08T12:17:00Z,2.185,co2_ppm,mqtt_consumer,LAPTOP-VP214E26,indoor,airquality/data
,,0,2025-05-08T10:52:36.7698019Z,2025-05-08T16:52:36.7698019Z,2025-05-08T12:18:00Z,1.833333333,co2_ppm,mqtt_consumer,LAPTOP-VP214E26,indoor,airquality/data
,,0,2025-05-08T10:52:36.7698019Z,2025-05-08T16:52:36.7698019Z,2025-05-08T12:19:00Z,1.63,co2_ppm,mqtt_consumer,LAPTOP-VP214E26,indoor,airquality/data
,,0,2025-05-08T10:52:36.7698019Z,2025-05-08T16:52:36.7698019Z,2025-05-08T12:20:00Z,1.54,co2_ppm,mqtt_consumer,LAPTOP-VP214E26,indoor,airquality/data
,,0,2025-05-08T10:52:36.7698019Z,2025-05-08T16:52:36.7698019Z,2025-05-08T12:23:00Z,1.266666667,co2_ppm,mqtt_consumer,LAPTOP-VP214E26,indoor,airquality/data
,,0,2025-05-08T10:52:36.7698019Z,2025-05-08T16:52:36.7698019Z,2025-05-08T12:24:00Z,1.218333333,co2_ppm,mqtt_consumer,LAPTOP-VP214E26,indoor,airquality/data
,,0,2025-05-08T10:52:36.7698019Z,2025-05-08T16:52:36.7698019Z,2025-05-08T12:25:00Z,1.175,co2_ppm,mqtt_consumer,LAPTOP-VP214E26,indoor,airquality/data
,,0,2025-05-08T10:52:36.7698019Z,2025-05-08T16:52:36.7698019Z,2025-05-08T12:26:00Z,1.135833333,co2_ppm,mqtt_consumer,LAPTOP-VP214E26,indoor,airquality/data
,,0,2025-05-08T10:52:36.7698019Z,2025-05-08T16:52:36.7698019Z,2025-05-08T12:27:00Z,1.106363636,co2_ppm,mqtt_consumer,LAPTOP-VP214E26,indoor,airquality/data
,,0,2025-05-08T10:52:36.7698019Z,2025-05-08T16:52:36.7698019Z,2025-05-08T12:28:00Z,1.089166667,co2_ppm,mqtt_consumer,LAPTOP-VP214E26,indoor,airquality/data
,,0,2025-05-08T10:52:36.7698019Z,2025-05-08T16:52:36.7698019Z,2025-05-08T12:29:00Z,1.039166667,co2_ppm,mqtt_consumer,LAPTOP-VP214E26,indoor,airquality/data
,,0,2025-05-08T10:52:36.7698019Z,2025-05-08T16:52:36.7698019Z,2025-05-08T12:30:00Z,1.033333333,co2_ppm,mqtt_consumer,LAPTOP-VP214E26,indoor,airquality/data
,,0,2025-05-08T10:52:36.7698019Z,2025-05-08T16:52:36.7698019Z,2025-05-08T12:31:00Z,1.0075,co2_ppm,mqtt_consumer,LAPTOP-VP214E26,indoor,airquality/data
,,0,2025-05-08T10:52:36.7698019Z,2025-05-08T16:52:36.7698019Z,2025-05-08T12:32:00Z,0.985,co2_ppm,mqtt_consumer,LAPTOP-VP214E26,indoor,airquality/data
,,0,2025-05-08T10:52:36.7698019Z,2025-05-08T16:52:36.7698019Z,2025-05-08T12:33:00Z,0.980833333,co2_ppm,mqtt_consumer,LAPTOP-VP214E26,indoor,airquality/data
,,0,2025-05-08T10:52:36.7698019Z,2025-05-08T16:52:36.7698019Z,2025-05-08T12:34:00Z,0.960909091,co2_ppm,mqtt_consumer,LAPTOP-VP214E26,indoor,airquality/data
,,0,2025-05-08T10:52:36.7698019Z,2025-05-08T16:52:36.7698019Z,2025-05-08T12:35:00Z,0.9525,co2_ppm,mqtt_consumer,LAPTOP-VP214E26,indoor,airquality/data
,,0,2025-05-08T10:52:36.7698019Z,2025-05-08T16:52:36.7698019Z,2025-05-08T12:36:00Z,0.93,co2_ppm,mqtt_consumer,LAPTOP-VP214E26,indoor,airquality/data
,,0,2025-05-08T10:52:36.7698019Z,2025-05-08T16:52:36.7698019Z,2025-05-08T12:37:00Z,0.910833333,co2_ppm,mqtt_consumer,LAPTOP-VP214E26,indoor,airquality/data
,,0,2025-05-08T10:52:36.7698019Z,2025-05-08T16:52:36.7698019Z,2025-05-08T12:38:00Z,0.916666667,co2_ppm,mqtt_consumer,LAPTOP-VP214E26,indoor,airquality/data
,,0,2025-05-08T10:52:36.7698019Z,2025-05-08T16:52:36.7698019Z,2025-05-08T12:39:00Z,0.913333333,co2_ppm,mqtt_consumer,LAPTOP-VP214E26,indoor,airquality/data
,,1,2025-05-08T10:52:36.7698019Z,2025-05-08T16:52:36.7698019Z,2025-05-08T12:17:00Z,63,humidity,mqtt_consumer,LAPTOP-VP214E26,indoor,airquality/data
,,1,2025-05-08T10:52:36.7698019Z,2025-05-08T16:52:36.7698019Z,2025-05-08T12:18:00Z,60.58333333,humidity,mqtt_consumer,LAPTOP-VP214E26,indoor,airquality/data
,,1,2025-05-08T10:52:36.7698019Z,2025-05-08T16:52:36.7698019Z,2025-05-08T12:19:00Z,59.41666667,humidity,mqtt_consumer,LAPTOP-VP214E26,indoor,airquality/data
,,1,2025-05-08T10:52:36.7698019Z,2025-05-08T16:52:36.7698019Z,2025-05-08T12:20:00Z,59,humidity,mqtt_consumer,LAPTOP-VP214E26,indoor,airquality/data
,,1,2025-05-08T10:52:36.7698019Z,2025-05-08T16:52:36.7698019Z,2025-05-08T12:23:00Z,59,humidity,mqtt_consumer,LAPTOP-VP214E26,indoor,airquality/data
,,1,2025-05-08T10:52:36.7698019Z,2025-05-08T16:52:36.7698019Z,2025-05-08T12:24:00Z,57.25,humidity,mqtt_consumer,LAPTOP-VP214E26,indoor,airquality/data
,,1,2025-05-08T10:52:36.7698019Z,2025-05-08T16:52:36.7698019Z,2025-05-08T12:25:00Z,57,humidity,mqtt_consumer,LAPTOP-VP214E26,indoor,airquality/data
,,1,2025-05-08T10:52:36.7698019Z,2025-05-08T16:52:36.7698019Z,2025-05-08T12:26:00Z,57,humidity,mqtt_consumer,LAPTOP-VP214E26,indoor,airquality/data
,,1,2025-05-08T10:52:36.7698019Z,2025-05-08T16:52:36.7698019Z,2025-05-08T12:27:00Z,56.36363636,humidity,mqtt_consumer,LAPTOP-VP214E26,indoor,airquality/data
,,1,2025-05-08T10:52:36.7698019Z,2025-05-08T16:52:36.7698019Z,2025-05-08T12:28:00Z,56,humidity,mqtt_consumer,LAPTOP-VP214E26,indoor,airquality/data
,,1,2025-05-08T10:52:36.7698019Z,2025-05-08T16:52:36.7698019Z,2025-05-08T12:29:00Z,56,humidity,mqtt_consumer,LAPTOP-VP214E26,indoor,airquality/data
,,1,2025-05-08T10:52:36.7698019Z,2025-05-08T16:52:36.7698019Z,2025-05-08T12:30:00Z,56,humidity,mqtt_consumer,LAPTOP-VP214E26,indoor,airquality/data
,,1,2025-05-08T10:52:36.7698019Z,2025-05-08T16:52:36.7698019Z,2025-05-08T12:31:00Z,56,humidity,mqtt_consumer,LAPTOP-VP214E26,indoor,airquality/data
,,1,2025-05-08T10:52:36.7698019Z,2025-05-08T16:52:36.7698019Z,2025-05-08T12:32:00Z,56,humidity,mqtt_consumer,LAPTOP-VP214E26,indoor,airquality/data
,,1,2025-05-08T10:52:36.7698019Z,2025-05-08T16:52:36.7698019Z,2025-05-08T12:33:00Z,56,humidity,mqtt_consumer,LAPTOP-VP214E26,indoor,airquality/data
,,1,2025-05-08T10:52:36.7698019Z,2025-05-08T16:52:36.7698019Z,2025-05-08T12:34:00Z,56,humidity,mqtt_consumer,LAPTOP-VP214E26,indoor,airquality/data
,,1,2025-05-08T10:52:36.7698019Z,2025-05-08T16:52:36.7698019Z,2025-05-08T12:35:00Z,56,humidity,mqtt_consumer,LAPTOP-VP214E26,indoor,airquality/data
,,1,2025-05-08T10:52:36.7698019Z,2025-05-08T16:52:36.7698019Z,2025-05-08T12:36:00Z,56,humidity,mqtt_consumer,LAPTOP-VP214E26,indoor,airquality/data
,,1,2025-05-08T10:52:36.7698019Z,2025-05-08T16:52:36.7698019Z,2025-05-08T12:37:00Z,56,humidity,mqtt_consumer,LAPTOP-VP214E26,indoor,airquality/data
,,1,2025-05-08T10:52:36.7698019Z,2025-05-08T16:52:36.7698019Z,2025-05-08T12:38:00Z,56,humidity,mqtt_consumer,LAPTOP-VP214E26,indoor,airquality/data
,,1,2025-05-08T10:52:36.7698019Z,2025-05-08T16:52:36.7698019Z,2025-05-08T12:39:00Z,56,humidity,mqtt_consumer,LAPTOP-VP214E26,indoor,airquality/data
,,2,2025-05-08T10:52:36.7698019Z,2025-05-08T16:52:36.7698019Z,2025-05-08T12:17:00Z,21.1,temperature,mqtt_consumer,LAPTOP-VP214E26,indoor,airquality/data
,,2,2025-05-08T10:52:36.7698019Z,2025-05-08T16:52:36.7698019Z,2025-05-08T12:18:00Z,22.56666667,temperature,mqtt_consumer,LAPTOP-VP214E26,indoor,airquality/data
,,2,2025-05-08T10:52:36.7698019Z,2025-05-08T16:52:36.7698019Z,2025-05-08T12:19:00Z,23.00833333,temperature,mqtt_consumer,LAPTOP-VP214E26,indoor,airquality/data
,,2,2025-05-08T10:52:36.7698019Z,2025-05-08T16:52:36.7698019Z,2025-05-08T12:20:00Z,23.1,temperature,mqtt_consumer,LAPTOP-VP214E26,indoor,airquality/data
,,2,2025-05-08T10:52:36.7698019Z,2025-05-08T16:52:36.7698019Z,2025-05-08T12:23:00Z,23.23333333,temperature,mqtt_consumer,LAPTOP-VP214E26,indoor,airquality/data
,,2,2025-05-08T10:52:36.7698019Z,2025-05-08T16:52:36.7698019Z,2025-05-08T12:24:00Z,23.70833333,temperature,mqtt_consumer,LAPTOP-VP214E26,indoor,airquality/data
,,2,2025-05-08T10:52:36.7698019Z,2025-05-08T16:52:36.7698019Z,2025-05-08T12:25:00Z,23.85,temperature,mqtt_consumer,LAPTOP-VP214E26,indoor,airquality/data
,,2,2025-05-08T10:52:36.7698019Z,2025-05-08T16:52:36.7698019Z,2025-05-08T12:26:00Z,23.91666667,temperature,mqtt_consumer,LAPTOP-VP214E26,indoor,airquality/data
,,2,2025-05-08T10:52:36.7698019Z,2025-05-08T16:52:36.7698019Z,2025-05-08T12:27:00Z,24,temperature,mqtt_consumer,LAPTOP-VP214E26,indoor,airquality/data
,,2,2025-05-08T10:52:36.7698019Z,2025-05-08T16:52:36.7698019Z,2025-05-08T12:28:00Z,24.04166667,temperature,mqtt_consumer,LAPTOP-VP214E26,indoor,airquality/data
,,2,2025-05-08T10:52:36.7698019Z,2025-05-08T16:52:36.7698019Z,2025-05-08T12:29:00Z,24.1,temperature,mqtt_consumer,LAPTOP-VP214E26,indoor,airquality/data
,,2,2025-05-08T10:52:36.7698019Z,2025-05-08T16:52:36.7698019Z,2025-05-08T12:30:00Z,24.1,temperature,mqtt_consumer,LAPTOP-VP214E26,indoor,airquality/data
,,2,2025-05-08T10:52:36.7698019Z,2025-05-08T16:52:36.7698019Z,2025-05-08T12:31:00Z,24.1,temperature,mqtt_consumer,LAPTOP-VP214E26,indoor,airquality/data
,,2,2025-05-08T10:52:36.7698019Z,2025-05-08T16:52:36.7698019Z,2025-05-08T12:32:00Z,24.11666667,temperature,mqtt_consumer,LAPTOP-VP214E26,indoor,airquality/data
,,2,2025-05-08T10:52:36.7698019Z,2025-05-08T16:52:36.7698019Z,2025-05-08T12:33:00Z,24.15833333,temperature,mqtt_consumer,LAPTOP-VP214E26,indoor,airquality/data
,,2,2025-05-08T10:52:36.7698019Z,2025-05-08T16:52:36.7698019Z,2025-05-08T12:34:00Z,24.12727273,temperature,mqtt_consumer,LAPTOP-VP214E26,indoor,airquality/data
,,2,2025-05-08T10:52:36.7698019Z,2025-05-08T16:52:36.7698019Z,2025-05-08T12:35:00Z,24.2,temperature,mqtt_consumer,LAPTOP-VP214E26,indoor,airquality/data
,,2,2025-05-08T10:52:36.7698019Z,2025-05-08T16:52:36.7698019Z,2025-05-08T12:36:00Z,24.2,temperature,mqtt_consumer,LAPTOP-VP214E26,indoor,airquality/data
,,2,2025-05-08T10:52:36.7698019Z,2025-05-08T16:52:36.7698019Z,2025-05-08T12:37:00Z,24.2,temperature,mqtt_consumer,LAPTOP-VP214E26,indoor,airquality/data
,,2,2025-05-08T10:52:36.7698019Z,2025-05-08T16:52:36.7698019Z,2025-05-08T12:38:00Z,24.25,temperature,mqtt_consumer,LAPTOP-VP214E26,indoor,airquality/data
,,2,2025-05-08T10:52:36.7698019Z,2025-05-08T16:52:36.7698019Z,2025-05-08T12:39:00Z,24.3,temperature,mqtt_consumer,LAPTOP-VP214E26,indoor,airquality/data
,,3,2025-05-08T10:52:36.7698019Z,2025-05-08T16:52:36.7698019Z,2025-05-08T12:49:00Z,1.27,co2_ppm,mqtt_consumer,LAPTOP-VP214E26,outdoor,airquality/data
,,3,2025-05-08T10:52:36.7698019Z,2025-05-08T16:52:36.7698019Z,2025-05-08T12:50:00Z,1.566363636,co2_ppm,mqtt_consumer,LAPTOP-VP214E26,outdoor,airquality/data
,,3,2025-05-08T10:52:36.7698019Z,2025-05-08T16:52:36.7698019Z,2025-05-08T12:51:00Z,1.745833333,co2_ppm,mqtt_consumer,LAPTOP-VP214E26,outdoor,airquality/data
,,3,2025-05-08T10:52:36.7698019Z,2025-05-08T16:52:36.7698019Z,2025-05-08T12:52:00Z,1.935,co2_ppm,mqtt_consumer,LAPTOP-VP214E26,outdoor,airquality/data
,,3,2025-05-08T10:52:36.7698019Z,2025-05-08T16:52:36.7698019Z,2025-05-08T12:53:00Z,3.365833333,co2_ppm,mqtt_consumer,LAPTOP-VP214E26,outdoor,airquality/data
,,3,2025-05-08T10:52:36.7698019Z,2025-05-08T16:52:36.7698019Z,2025-05-08T12:54:00Z,3.190833333,co2_ppm,mqtt_consumer,LAPTOP-VP214E26,outdoor,airquality/data
,,3,2025-05-08T10:52:36.7698019Z,2025-05-08T16:52:36.7698019Z,2025-05-08T12:55:00Z,1.855,co2_ppm,mqtt_consumer,LAPTOP-VP214E26,outdoor,airquality/data
,,3,2025-05-08T10:52:36.7698019Z,2025-05-08T16:52:36.7698019Z,2025-05-08T12:56:00Z,1.352727273,co2_ppm,mqtt_consumer,LAPTOP-VP214E26,outdoor,airquality/data
,,3,2025-05-08T10:52:36.7698019Z,2025-05-08T16:52:36.7698019Z,2025-05-08T12:57:00Z,29.47083333,co2_ppm,mqtt_consumer,LAPTOP-VP214E26,outdoor,airquality/data
,,3,2025-05-08T10:52:36.7698019Z,2025-05-08T16:52:36.7698019Z,2025-05-08T12:58:00Z,3.796666667,co2_ppm,mqtt_consumer,LAPTOP-VP214E26,outdoor,airquality/data
,,3,2025-05-08T10:52:36.7698019Z,2025-05-08T16:52:36.7698019Z,2025-05-08T12:59:00Z,2.665833333,co2_ppm,mqtt_consumer,LAPTOP-VP214E26,outdoor,airquality/data
,,3,2025-05-08T10:52:36.7698019Z,2025-05-08T16:52:36.7698019Z,2025-05-08T13:00:00Z,10.66666667,co2_ppm,mqtt_consumer,LAPTOP-VP214E26,outdoor,airquality/data
,,3,2025-05-08T10:52:36.7698019Z,2025-05-08T16:52:36.7698019Z,2025-05-08T13:01:00Z,18.31916667,co2_ppm,mqtt_consumer,LAPTOP-VP214E26,outdoor,airquality/data
,,3,2025-05-08T10:52:36.7698019Z,2025-05-08T16:52:36.7698019Z,2025-05-08T13:02:00Z,13.44416667,co2_ppm,mqtt_consumer,LAPTOP-VP214E26,outdoor,airquality/data
,,3,2025-05-08T10:52:36.7698019Z,2025-05-08T16:52:36.7698019Z,2025-05-08T13:03:00Z,6.373636364,co2_ppm,mqtt_consumer,LAPTOP-VP214E26,outdoor,airquality/data
,,3,2025-05-08T10:52:36.7698019Z,2025-05-08T16:52:36.7698019Z,2025-05-08T13:04:00Z,4.463333333,co2_ppm,mqtt_consumer,LAPTOP-VP214E26,outdoor,airquality/data
,,3,2025-05-08T10:52:36.7698019Z,2025-05-08T16:52:36.7698019Z,2025-05-08T13:05:00Z,3.728333333,co2_ppm,mqtt_consumer,LAPTOP-VP214E26,outdoor,airquality/data
,,3,2025-05-08T10:52:36.7698019Z,2025-05-08T16:52:36.7698019Z,2025-05-08T13:06:00Z,4.126666667,co2_ppm,mqtt_consumer,LAPTOP-VP214E26,outdoor,airquality/data
,,3,2025-05-08T10:52:36.7698019Z,2025-05-08T16:52:36.7698019Z,2025-05-08T13:07:00Z,4.641666667,co2_ppm,mqtt_consumer,LAPTOP-VP214E26,outdoor,airquality/data
,,3,2025-05-08T10:52:36.7698019Z,2025-05-08T16:52:36.7698019Z,2025-05-08T13:08:00Z,3.180833333,co2_ppm,mqtt_consumer,LAPTOP-VP214E26,outdoor,airquality/data
,,3,2025-05-08T10:52:36.7698019Z,2025-05-08T16:52:36.7698019Z,2025-05-08T13:09:00Z,3.248181818,co2_ppm,mqtt_consumer,LAPTOP-VP214E26,outdoor,airquality/data
,,3,2025-05-08T10:52:36.7698019Z,2025-05-08T16:52:36.7698019Z,2025-05-08T13:10:00Z,3.3825,co2_ppm,mqtt_consumer,LAPTOP-VP214E26,outdoor,airquality/data
,,3,2025-05-08T10:52:36.7698019Z,2025-05-08T16:52:36.7698019Z,2025-05-08T13:11:00Z,2.683333333,co2_ppm,mqtt_consumer,LAPTOP-VP214E26,outdoor,airquality/data
,,3,2025-05-08T10:52:36.7698019Z,2025-05-08T16:52:36.7698019Z,2025-05-08T13:12:00Z,3.033333333,co2_ppm,mqtt_consumer,LAPTOP-VP214E26,outdoor,airquality/data
,,3,2025-05-08T10:52:36.7698019Z,2025-05-08T16:52:36.7698019Z,2025-05-08T13:13:00Z,7.509166667,co2_ppm,mqtt_consumer,LAPTOP-VP214E26,outdoor,airquality/data
